epoch,timestamp,method,vm_id,pm_id
7,1378605900,PABFD,VM_011,11
7,1378605900,PABFD,VM_003,12
7,1378605900,PABFD,VM_001,11
7,1378605900,PABFD,VM_013,12
8,1378606200,Standard_HO,VM_001,19
8,1378606200,Standard_HO,VM_003,19
8,1378606200,Standard_HO,VM_011,19
8,1378606200,Standard_HO,VM_012,19
8,1378606200,Standard_HO,VM_013,19
8,1378606200,WA-AHO,VM_001,16
8,1378606200,WA-AHO,VM_003,16
8,1378606200,WA-AHO,VM_011,16
8,1378606200,WA-AHO,VM_012,16
8,1378606200,WA-AHO,VM_013,16
8,1378606200,PABFD,VM_012,10
8,1378606200,PABFD,VM_011,11
8,1378606200,PABFD,VM_003,12
8,1378606200,PABFD,VM_001,11
8,1378606200,PABFD,VM_013,12
9,1378606500,Standard_HO,VM_001,19
9,1378606500,Standard_HO,VM_003,19
9,1378606500,Standard_HO,VM_011,19
9,1378606500,Standard_HO,VM_012,19
9,1378606500,Standard_HO,VM_013,19
9,1378606500,WA-AHO,VM_001,18
9,1378606500,WA-AHO,VM_003,18
9,1378606500,WA-AHO,VM_011,18
9,1378606500,WA-AHO,VM_012,18
9,1378606500,WA-AHO,VM_013,18
9,1378606500,PABFD,VM_012,10
9,1378606500,PABFD,VM_011,11
9,1378606500,PABFD,VM_003,12
9,1378606500,PABFD,VM_001,11
9,1378606500,PABFD,VM_013,12
10,1378606800,Standard_HO,VM_001,19
10,1378606800,Standard_HO,VM_003,19
10,1378606800,Standard_HO,VM_011,19
10,1378606800,Standard_HO,VM_012,19
10,1378606800,Standard_HO,VM_013,19
10,1378606800,WA-AHO,VM_001,19
10,1378606800,WA-AHO,VM_003,19
10,1378606800,WA-AHO,VM_011,19
10,1378606800,WA-AHO,VM_012,19
10,1378606800,WA-AHO,VM_013,19
10,1378606800,PABFD,VM_012,10
10,1378606800,PABFD,VM_011,11
10,1378606800,PABFD,VM_003,12
10,1378606800,PABFD,VM_001,11
10,1378606800,PABFD,VM_013,12
11,1378607100,Standard_HO,VM_001,17
11,1378607100,Standard_HO,VM_003,17
11,1378607100,Standard_HO,VM_011,17
11,1378607100,Standard_HO,VM_012,17
11,1378607100,Standard_HO,VM_013,17
11,1378607100,WA-AHO,VM_001,17
